Commodity_Description,Market_Year,Production,Ending Stocks,Use,Net Use
"Oilseed, Soybean",2000,75055,6743,76306,1.251
"Oilseed, Soybean",2001,78672,5663,79815,1.143
"Oilseed, Soybean",2002,75010,4853,75947,0.937
"Oilseed, Soybean",2003,66783,3059,68728,1.945
"Oilseed, Soybean",2004,85016,6960,81267,-3.749
"Oilseed, Soybean",2005,83507,12229,78330,-5.177
"Oilseed, Soybean",2006,87001,15617,83859,-3.142
"Oilseed, Soybean",2007,72859,5580,83165,10.306
"Oilseed, Soybean",2008,80749,3761,82929,2.18
"Oilseed, Soybean",2009,91470,4106,91522,0.052
"Oilseed, Soybean",2010,90663,5852,89310,-1.353
"Oilseed, Soybean",2011,84291,4610,85972,1.681
"Oilseed, Soybean",2012,82791,3825,84679,1.888
"Oilseed, Soybean",2013,91389,2504,94663,3.274
"Oilseed, Soybean",2014,106878,5188,105098,-1.78
"Oilseed, Soybean",2015,106857,5354,107332,0.475
"Oilseed, Soybean",2016,116920,8208,114672,-2.248
"Oilseed, Soybean",2017,120039,11923,116918,-3.121
"Oilseed, Soybean",2018,125179,25995,111787,-13.392
